simulation_id,n_obs,identity_cov_matrix,p_features,link_function,selector,share_of_truth_uncovered,ratio_total_select_coeffs_true_coeffs,false_pos_share_true_support,false_pos_share_right_selection,linear_effect_coverage,conf_int_width
2,100,True,20,linear_link,adaptive_lasso_tuned,0.7,0.7,0.0,0.0,True,[0.87823378 1.09769904]
2,100,True,20,polynomial_link,boruta_selector,0.2,0.2,0.0,0.0,,
2,100,True,20,polynomial_link,univariate_feature_selection,0.2,0.2,0.0,0.0,,
2,100,True,20,polynomial_link,lasso_feature_selection,0.3,0.3,0.0,0.0,,
2,100,True,20,polynomial_link,adaptive_lasso_tuned,0.2,0.3,0.1,0.5,,
2,100,True,20,sine_link,boruta_selector,0.2,0.3,0.1,0.5,True,[0.87219866 1.56848376]
2,100,True,20,sine_link,univariate_feature_selection,0.2,0.2,0.0,0.0,True,[0.86794832 1.55361332]
2,100,True,20,sine_link,lasso_feature_selection,0.3,0.4,0.1,0.3333333333333333,True,[0.88308664 1.55469452]
2,100,True,20,sine_link,adaptive_lasso_tuned,0.3,0.4,0.1,0.3333333333333333,True,[0.90697384 1.31678549]
2,100,True,80,linear_link,boruta_selector,0.4,0.6,0.2,0.5,,
2,100,True,80,linear_link,univariate_feature_selection,0.4,1.0,0.6,1.5,,
2,100,True,80,linear_link,lasso_feature_selection,0.7,1.5,0.8,1.1428571428571428,True,[0.79203901 1.12070891]
2,100,True,80,linear_link,adaptive_lasso_tuned,0.7,1.1,0.4,0.5714285714285714,True,[0.82979919 1.01145331]
2,100,True,80,polynomial_link,boruta_selector,0.1,0.5,0.4,4.0,,
2,100,True,80,polynomial_link,univariate_feature_selection,0.0,0.2,0.2,,,
2,100,True,80,polynomial_link,lasso_feature_selection,0.0,0.0,0.0,,,
2,100,True,80,polynomial_link,adaptive_lasso_tuned,0.2,0.6,0.4,2.0,,
2,100,True,80,sine_link,boruta_selector,0.2,0.2,0.0,0.0,True,[0.74589736 1.31311223]
2,100,True,80,sine_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.74459521 1.30505827]
2,100,True,80,sine_link,lasso_feature_selection,0.1,0.1,0.0,0.0,True,[0.74459521 1.30505827]
2,100,True,80,sine_link,adaptive_lasso_tuned,0.1,0.1,0.0,0.0,True,[0.65509873 1.0654195 ]
